id,crop,disease_name,disease_type,scientific_name,symptoms,causes,visual_detection_cues,cure_treatment,prevention_suggestions,severity
1,Rice,Bacterial Leaf Blight,Bacterial,Xanthomonas oryzae pv. oryzae,Water-soaked yellow-to-white stripes on leaf margins that turn yellow-brown; leaves wilt and dry from the tip; in seedlings whole plant may wilt (kresek stage).,"Bacteria spreads via irrigation water, rain splash, wind and contaminated seed/tools; favored by warm humid weather (25-34°C) and high nitrogen.","Long wavy yellow lesions running parallel to leaf veins starting at margins/tip, later turning grayish-white with wavy edge.",Drain field and avoid flooding; spray Copper oxychloride (0.3%) or Streptocycline (100-200 ppm) mixed with Copper oxychloride; use resistant varieties for next season.,Use certified disease-free seed; balanced NPK (avoid excess nitrogen); maintain field drainage; avoid clipping seedling leaf tips during transplanting; rotate with non-host crop.,High
2,Rice,Rice Blast,Fungal,Magnaporthe oryzae (Pyricularia oryzae),Diamond/spindle shaped grey-centered spots with brown margins on leaves; node blast causes blackening and breaking of stem; neck blast causes empty panicles.,"High humidity, extended leaf wetness, dense planting, excess nitrogen, temperature 25-28°C.",Eye/diamond-shaped lesions with grey/white center and reddish-brown border on leaf blade; blackened node or neck.,Spray Tricyclazole 75% WP (0.6 g/L) or Isoprothiolane at first symptom; repeat after 10-15 days if needed.,Use resistant varieties; avoid excess nitrogen; ensure proper spacing for airflow; treat seed with Carbendazim before sowing.,High
3,Rice,Sheath Blight,Fungal,Rhizoctonia solani,"Oval greenish-grey water-soaked lesions on leaf sheath near water line, enlarging with irregular brown margins; lesions may girdle the sheath.","High humidity, dense canopy, excess nitrogen, standing water, temperature 28-32°C.","Cloud/snake-skin pattern lesions on lower leaf sheath, greyish-white center with brown border.",Spray Hexaconazole 5% SC or Validamycin at early tillering/booting stage; drain excess water.,"Avoid overcrowding, maintain optimum spacing, balanced fertilization, remove infected stubble after harvest.",Medium
4,Rice,Brown Spot,Fungal,Bipolaris oryzae (Cochliobolus miyabeanus),Small circular to oval brown spots with grey/white center on leaves and grain; severe infection causes leaf blight.,"Nutrient-deficient soil (especially potassium), high humidity, stressed/old seedlings.","Numerous small round dark-brown spots scattered across leaf surface, resembling sesame seeds.",Spray Mancozeb 0.2% or Propiconazole; apply potash fertilizer to correct deficiency.,"Use healthy seed, treat seed with Carbendazim, maintain balanced soil fertility (esp. potassium & zinc).",Medium
5,Wheat,Yellow Rust (Stripe Rust),Fungal,Puccinia striiformis,Yellow-orange powdery pustules arranged in stripes along leaf veins; severe infection causes leaf drying and yield loss.,"Cool moist weather (10-15°C), high humidity, dew, wind-borne spores.","Bright yellow powdery streaks in linear rows along the leaf blade, rub off as yellow powder on finger.",Spray Propiconazole 25% EC (0.1%) or Tebuconazole at first appearance; repeat after 15 days if severe.,"Grow resistant varieties, timely sowing, avoid excess nitrogen, monitor field regularly during cool season.",High
6,Wheat,Brown Rust (Leaf Rust),Fungal,Puccinia triticina,Small round orange-brown pustules scattered irregularly (not in stripes) on upper leaf surface.,"Warm humid weather (15-25°C), dense crop canopy, wind dispersal of spores.","Round orange-brown powdery pustules randomly scattered on leaf, distinguishing it from the striped yellow rust.",Spray Propiconazole or Mancozeb at first sign; two sprays 15 days apart usually sufficient.,"Plant resistant varieties, avoid late sowing, balanced fertilizer application.",Medium
7,Wheat,Powdery Mildew,Fungal,Blumeria graminis,"White powdery fungal growth on leaves, stems and ear; leaves turn yellow and wither in severe cases.","Cool humid weather, dense sowing, shade, excess nitrogen.","Talcum-powder-like white patches on upper leaf surface, easily wiped off.","Spray Sulphur dust (25kg/ha) or wettable Sulphur 0.2%, or Propiconazole.","Avoid dense sowing, use resistant varieties, avoid excess irrigation/nitrogen.",Medium
8,Wheat,Loose Smut,Fungal,Ustilago tritici,"Ear head replaced by black powdery mass of spores, visible at heading stage; whole grain destroyed.","Seed-borne infection, spores enter floral parts during flowering of previous crop.",Black soot-like powder covering the entire ear head instead of grains.,No in-season cure; rogue out and destroy infected ears before spores spread; treat seed for next season.,Use certified disease-free seed; treat seed with Carboxin or Vitavax (2-2.5 g/kg seed) before sowing.,Medium
9,Maize,Turcicum Leaf Blight (Northern Corn Leaf Blight),Fungal,Exserohilum turcicum,"Long elliptical greyish-green to tan lesions on leaves, running parallel to leaf margin; lesions coalesce causing leaf blight.","Warm humid weather, continuous cropping, crop residue carrying spores.","Cigar-shaped grey-tan lesions, 2-15 cm long, on lower leaves first.",Spray Mancozeb 75% WP (0.25%) or Propiconazole at early symptom stage; repeat after 10-15 days.,"Use resistant hybrids, crop rotation, destroy crop residue, avoid dense planting.",Medium
10,Maize,Maize Common Rust,Fungal,Puccinia sorghi,Small round to elongated reddish-brown pustules scattered on both leaf surfaces.,"Cool moist weather (16-23°C), high humidity, wind-borne spores.","Cinnamon-brown powdery pustules on both sides of the leaf, rupturing the epidermis.",Spray Mancozeb or Propiconazole if severity is high before tasseling.,"Plant resistant hybrids, avoid late planting, monitor fields regularly.",Low
11,Maize,Fall Armyworm,Pest,Spodoptera frugiperda,"Ragged/window-pane feeding on leaves, holes in whorl, sawdust-like frass (excreta) in the funnel.",Moth lays eggs on leaves; larvae feed voraciously especially in whorl stage; favored by warm weather.,Skeletonized leaves with round-to-oblong holes in a row pattern; larvae with inverted 'Y' mark on head visible in whorl.,Apply Emamectin benzoate 5% SG (0.4 g/L) or Spinetoram directly into the whorl; hand-pick larvae in small fields.,"Early sowing, regular scouting, use pheromone traps, encourage natural predators, intercrop with legumes.",High
12,Cotton,Bacterial Blight (Angular Leaf Spot),Bacterial,Xanthomonas citri pv. malvacearum,"Small angular water-soaked spots on leaves bound by veins, turning brown/black; black lesions on stems and bolls.","Rain splash, wind, contaminated seed, warm humid weather.","Angular dark spots restricted by leaf veins (not round), giving a mosaic-like pattern.",Spray Copper oxychloride (0.3%) with Streptocycline (100 ppm); remove and destroy infected plant debris.,"Use acid-delinted/treated seed, avoid overhead irrigation, crop rotation with non-host crops.",Medium
13,Cotton,Pink Bollworm,Pest,Pectinophora gossypiella,"Rosette flowers (petals stuck together); bolls have small entry holes, damaged/pink-stained lint and seeds inside.","Moth lays eggs on squares/bolls; larvae bore inside, favored by continuous cotton cultivation and warm weather.",Rosetted flower petals; small dark holes on boll surface with frass; pink caterpillar found inside boll on cutting open.,Spray Profenofos 50% EC or use pheromone (gossyplure) traps; apply Emamectin benzoate if infestation is high.,"Install pheromone traps early season, destroy crop residue after harvest, avoid ratoon cotton, timely sowing and uprooting after last picking.",High
14,Cotton,Cotton Leaf Curl Virus,Viral,"Cotton leaf curl virus (CLCuV), transmitted by whitefly","Upward/downward curling of leaves, thickened veins, leaf-like enations on the underside, stunted growth and reduced boll formation.",Spread by whitefly (Bemisia tabaci) vector; favored by hot dry weather that boosts whitefly population.,Leaves curled and puckered with dark green thickened veins and small leafy outgrowths (enations) on the underside.,No direct cure; control whitefly vector with Imidacloprid or Diafenthiuron sprays; remove and destroy infected plants early.,"Grow tolerant varieties, install yellow sticky traps for whitefly monitoring, avoid overlapping cotton seasons.",High
15,Tomato,Early Blight,Fungal,Alternaria solani,"Dark brown concentric-ringed (target-board) spots on older/lower leaves first, leading to yellowing and defoliation; can also affect stem and fruit.","Warm humid weather, alternating wet-dry conditions, nutrient-stressed plants.","Circular brown spots with visible concentric rings like a target/bullseye, surrounded by yellow halo.",Spray Mancozeb 75% WP (0.25%) or Chlorothalonil at 10-day intervals; remove infected lower leaves.,"Stake plants for airflow, mulch to prevent soil splash, crop rotation, avoid overhead watering.",Medium
16,Tomato,Late Blight,Fungal (Oomycete),Phytophthora infestans,Large irregular water-soaked greyish-green patches on leaves that turn brown/black rapidly; white fungal growth on underside in humid weather; fruit develops brown greasy patches.,"Cool wet weather (10-20°C), high humidity, poor air circulation.","Water-soaked dark patches on leaves with white cottony growth on the underside margin, spreading rapidly within days.",Spray Metalaxyl + Mancozeb (Ridomil) or Cymoxanil immediately at first sign; act fast as it spreads quickly.,"Ensure good drainage/airflow, avoid overhead irrigation especially evenings, remove and burn infected plants immediately.",High
17,Tomato,Tomato Leaf Curl Virus,Viral,"Tomato leaf curl virus, transmitted by whitefly","Upward curling and crinkling of leaves, yellowing between veins, stunted bushy growth, flower drop and poor fruit set.",Spread by whitefly vector; hot dry weather favors whitefly buildup.,"Small, curled, crinkled leaves giving the plant a stunted, bushy appearance; yellow mottling between veins.",No cure once infected — remove and destroy infected plants; control whitefly with Imidacloprid or yellow sticky traps.,"Use virus-resistant varieties, raise seedlings under insect-proof nylon net, control whitefly early.",High
18,Tomato,Septoria Leaf Spot,Fungal,Septoria lycopersici,"Numerous small circular spots with dark margin and grey/tan center, mainly on older leaves, causing yellowing and leaf drop.","Warm humid weather, overhead watering, splashing rain.","Small (2-3mm) round spots with dark brown border and light grey center, tiny black specks (pycnidia) visible at center.",Spray Chlorothalonil or Mancozeb every 7-10 days; remove infected leaves.,"Avoid overhead irrigation, mulch soil, rotate crops, space plants for airflow.",Medium
19,Potato,Late Blight,Fungal (Oomycete),Phytophthora infestans,"Dark water-soaked patches on leaves and stem that enlarge rapidly, white mold on leaf underside in humid conditions; tubers show reddish-brown rot.","Cool wet weather, high humidity, poor drainage.","Irregular dark brown-black lesions with pale green border on leaves, white downy growth visible on underside in early morning.",Spray Mancozeb preventively; Metalaxyl+Mancozeb or Cymoxanil+Mancozeb curatively at first symptom.,"Use certified disease-free seed tubers, earth-up soil around plants, avoid excess irrigation, destroy infected haulms before harvest.",High
20,Potato,Early Blight,Fungal,Alternaria solani,"Dark brown target-board spots with concentric rings on older leaves, causing yellowing and premature defoliation.","Warm weather with alternating dry-wet spells, plant stress, low nitrogen.","Circular brown lesions with concentric ring pattern, primarily on lower/older leaves.",Spray Mancozeb or Chlorothalonil at 10-day intervals.,"Balanced fertilization, crop rotation, remove volunteer potato plants.",Medium
21,Potato,Common Scab,Bacterial,Streptomyces scabies,"Rough, corky, raised or pitted brown lesions on tuber skin; does not usually affect foliage.","Alkaline/dry soil, low soil moisture during tuber formation, high soil pH.","Rough corky brown scab-like patches on the tuber surface (visible after harvest, not on standing crop leaves).",No cure for existing tubers; maintain consistent soil moisture during tuber bulking; lower soil pH if needed.,"Use resistant varieties, avoid excess lime/alkaline amendments, maintain even irrigation, rotate crops.",Low
22,Sugarcane,Red Rot,Fungal,Colletotrichum falcatum,"Reddening of internal stalk tissue with white patches (cross-section), drying of leaves, sour smell from split cane.","Waterlogging, use of infected setts, warm humid weather.","On cutting the stalk, red discoloration with white transverse bands is visible inside; leaves show drying/wilting from top.",No effective in-field cure; remove and burn infected clumps; treat healthy setts with Carbendazim before planting next crop.,"Use disease-free/resistant sett varieties, hot water treatment of setts (50°C for 2 hrs), avoid waterlogging, crop rotation.",High
23,Sugarcane,Smut,Fungal,Sporisorium scitamineum,Long black whip-like structure emerging from the growing point (shoot converts into a curved black whip covered with spores).,"Airborne spores, infected setts, favored by drought stress and ratooning.","Distinctive black curved whip protruding from the top of the cane, covered in powdery black spore mass.",Rogue out and burn whip-bearing clumps immediately before whip ruptures; treat setts with Propiconazole or Carbendazim before planting.,"Use resistant varieties, avoid ratooning infected fields, hot water treatment of setts.",Medium
24,Chili,Anthracnose (Fruit Rot),Fungal,Colletotrichum capsici,"Sunken circular dark lesions with concentric rings on ripe fruit, often with pinkish spore masses in center; fruit shrivels and drops.","Warm humid weather, rain splash, infected seed.","Sunken dark, water-soaked circular spots on the fruit with visible concentric rings and pink/orange spore dots at center.",Spray Carbendazim + Mancozeb (combi) or Copper oxychloride at 10-day intervals starting from flowering.,"Use disease-free seed, avoid overhead irrigation, remove and destroy infected fruit, crop rotation.",High
25,Chili,Chili Leaf Curl Virus,Viral,"Chilli leaf curl virus, transmitted by whitefly","Upward curling, crinkling and thickening of leaves; stunted plant with bushy top, reduced flowering and fruiting.","Whitefly vector transmission, hot dry weather.","Small, tightly curled, leathery leaves clustered at the top of the plant giving a bushy/stunted look.",No cure — remove and destroy infected plants; control whitefly with Imidacloprid or Diafenthiuron sprays.,"Grow tolerant varieties, use yellow sticky traps, raise nursery under insect-proof net, avoid planting near old infected fields.",High
26,Chili,Powdery Mildew,Fungal,Leveillula taurica,Yellow patches on upper leaf surface with white powdery fungal growth on the corresponding underside; leaves drop prematurely.,"Warm dry days with cool humid nights, poor air circulation.","White powdery coating mainly on leaf underside, with yellow blotches visible on the upper surface.",Spray wettable Sulphur (0.2%) or Hexaconazole.,"Ensure good spacing/airflow, avoid water stress, remove heavily infected leaves.",Medium
27,Onion,Purple Blotch,Fungal,Alternaria porri,"Small water-soaked white lesions that enlarge into purplish-brown concentric-ringed patches on leaves and seed stalks, causing leaf collapse.","Warm humid weather, overhead irrigation, dense planting.","Elongated lesions with purple-brown center and yellow halo, concentric zonation visible, leaf tip drying and drooping.",Spray Mancozeb 75% WP (0.25%) or Iprodione at 10-day intervals.,"Avoid overhead irrigation, ensure field drainage, crop rotation, wider plant spacing.",Medium
28,Onion,Downy Mildew,Fungal (Oomycete),Peronospora destructor,Pale yellow-green oval patches on leaves with greyish-purple fungal fuzz in humid mornings; leaves collapse and dry from tip.,"Cool humid weather, heavy dew, poor drainage.","Grey-purple fuzzy mold visible on leaf surface in early morning, leaves pale and bent over.",Spray Mancozeb or Metalaxyl+Mancozeb at first appearance.,"Use disease-free sets/seed, improve field drainage and airflow, avoid excess irrigation.",Medium
29,Groundnut,Tikka Leaf Spot (Early & Late),Fungal,Cercospora arachidicola / Cercosporidium personatum,"Small circular brown-black spots with yellow halo on leaves, leading to defoliation in severe cases.","Warm humid weather, continuous groundnut cultivation, rain splash.","Round dark brown to black spots (early spot lighter brown, late spot darker/black) each with a yellow ring around it.",Spray Chlorothalonil or Mancozeb (0.2%) at 15-day intervals starting 30 days after sowing.,"Crop rotation, use resistant varieties, remove crop debris after harvest, timely sowing.",Medium
30,Groundnut,Collar Rot,Fungal,Aspergillus niger,"Rotting and blackening at the collar/stem base near soil line, seedling wilts and topples over.","Infected seed, high soil temperature, poor seed quality.","Black sooty fungal growth at the base of stem near soil surface, wilting seedlings that snap easily at collar region.",Treat seed with Carbendazim/Thiram before sowing; drench soil with Carbendazim if detected early.,"Use certified treated seed, avoid deep sowing, maintain field drainage.",Medium
31,Soybean,Yellow Mosaic Virus,Viral,"Mungbean yellow mosaic virus, transmitted by whitefly","Bright yellow mosaic patches on leaves, stunted plant growth, reduced pod formation and small distorted pods.","Whitefly vector transmission, favored by warm weather and whitefly buildup.",Irregular bright yellow patches mixed with green on leaves in a mosaic pattern.,No cure — rogue out infected plants early; control whitefly with Imidacloprid.,"Grow tolerant varieties, early sowing to avoid peak whitefly season, use yellow sticky traps.",High
32,Soybean,Rust,Fungal,Phakopsora pachyrhizi,"Small reddish-brown to tan pustules mainly on leaf underside, leaves turn yellow and drop prematurely.","Warm humid weather, wind-borne spores, dense canopy.","Tiny raised tan-brown pustules on the underside of leaves, gritty texture when rubbed.","Spray Hexaconazole or Tebuconazole at first sign, repeat after 15 days if needed.","Use resistant varieties, avoid late sowing, monitor fields during flowering/pod stage.",Medium
33,Banana,Panama Wilt (Fusarium Wilt),Fungal,Fusarium oxysporum f.sp. cubense,"Yellowing of older leaves starting from margin, leaves collapse and hang around pseudostem, internal stem shows dark brown vascular discoloration.","Soil-borne fungus, spreads through infected suckers/soil/water, persists in soil for years.","Yellowing progressing from oldest to youngest leaves, split pseudostem shows dark brown-black streaks inside.",No cure — remove and destroy infected plants including rhizome; do not replant banana in same spot for years.,"Use disease-free tissue-culture plantlets, avoid waterlogging, practice long crop rotation, disinfect tools.",High
34,Banana,Sigatoka Leaf Spot,Fungal,Mycosphaerella musicola / M. fijiensis,"Small yellow streaks that enlarge into brown-black oval spots with yellow halo, coalescing to cause leaf death.","Warm humid weather, dense planting, poor drainage.",Parallel brown-black streaks/spots running along leaf veins that merge into large necrotic patches.,Spray Propiconazole or Mancozeb at 15-day intervals; remove and destroy heavily infected leaves.,"Maintain plant spacing for airflow, remove old infected leaves regularly, balanced fertilization, improve drainage.",Medium
35,Grape,Downy Mildew,Fungal (Oomycete),Plasmopara viticola,"Pale yellow oily patches on upper leaf surface, white cottony fungal growth on the underside, affected berries shrivel (brown rot).","Cool wet weather, high humidity, overhead irrigation, poor canopy airflow.",Oily translucent yellow spots on top of leaf with white downy fungal growth visible underneath.,"Spray Metalaxyl + Mancozeb or Copper oxychloride at first sign, repeat after rains.","Canopy management for airflow, avoid overhead irrigation, timely pruning, remove infected leaves/berries.",High
36,Grape,Powdery Mildew,Fungal,Erysiphe necator,"White powdery fungal growth on leaves, shoots and berries; infected berries crack and split.","Warm dry days with high humidity at night, dense canopy.","Talcum-like white powder coating leaves, shoots and young berries.",Spray wettable Sulphur (0.2%) or Hexaconazole/Myclobutanil.,"Canopy management, avoid excess nitrogen, timely sulphur dusting during susceptible stage.",Medium
37,Mango,Anthracnose,Fungal,Colletotrichum gloeosporioides,"Black irregular spots on leaves, flowers (blossom blight causing flower drop) and fruit (sunken black spots that enlarge in storage).","Warm humid weather, rain during flowering, poor orchard sanitation.","Irregular black-brown spots on leaves/fruit with slightly sunken centers, black shriveled flower panicles (blossom blight).",Spray Carbendazim (0.1%) or Copper oxychloride at flowering and again at fruit development stage.,"Prune for airflow, remove fallen leaves/fruit, avoid overhead irrigation during flowering.",Medium
38,Mango,Powdery Mildew,Fungal,Oidium mangiferae,"White powdery growth on flower panicles, young leaves and fruit; causes flower and fruit drop.",Cool dry weather with high humidity at night during flowering season.,White powdery coating on inflorescence/panicle giving a frosted appearance.,"Spray wettable Sulphur (0.2%) or Hexaconazole at panicle emergence, repeat at 15-day intervals.","Monitor during flowering season, prune for airflow, avoid dense canopy.",Medium
39,Citrus,Citrus Canker,Bacterial,Xanthomonas citri,"Raised corky brown lesions with yellow halo on leaves, stems and fruit; leaves may drop, fruit gets blemished.","Rain splash, wind-driven rain, contaminated pruning tools, leaf miner injury sites.","Rough, raised, corky brown circular lesions with a water-soaked yellow ring around them on leaves and fruit rind.",Spray Copper oxychloride (0.3%) or Streptocycline; prune and burn infected twigs.,"Control citrus leaf miner (entry point for bacteria), use windbreaks, disinfect pruning tools between plants.",High
40,Citrus,Citrus Greening (HLB),Bacterial (Insect-transmitted),"Candidatus Liberibacter spp., transmitted by psyllid","Blotchy yellow mottling of leaves (asymmetric across midrib), stunted growth, small lopsided bitter fruit that stays green at base.",Spread by Asian citrus psyllid; no cure once infected.,Yellow blotchy mottled pattern on leaves that is asymmetric on either side of midrib (distinguishes from nutrient deficiency).,No cure — remove and destroy infected trees to prevent spread; control psyllid vector with Imidacloprid.,"Use certified disease-free nursery plants, monitor and control psyllid population, remove infected trees promptly.",High
41,Apple,Apple Scab,Fungal,Venturia inaequalis,"Olive-green to black velvety spots on leaves and fruit; fruit develops corky, cracked scab-like lesions.","Cool wet spring weather, overwintering spores on fallen leaves.",Dark olive-green to black scabby spots with feathery/velvety edges on leaf surface and fruit skin.,"Spray Mancozeb or Captan at bud break, repeat at 10-day intervals through wet spring.","Remove and destroy fallen leaves in autumn, prune for airflow, use resistant varieties.",Medium
42,Apple,Powdery Mildew,Fungal,Podosphaera leucotricha,"White powdery coating on young leaves, shoots and blossoms; leaves curl and shoots become stunted.","Warm dry weather, high humidity, infected buds overwintering the fungus.","White felty powder on new shoot tips and leaf undersides, curled/distorted young leaves.","Spray wettable Sulphur or Myclobutanil at bud break, repeat during shoot growth.","Prune out infected shoots in dormant season, avoid excess nitrogen, ensure airflow.",Low
43,Brinjal,Fruit and Shoot Borer,Pest,Leucinodes orbonalis,"Wilting of shoots (dead heart) due to larval boring; small entry holes on fruit plugged with excreta, fruit rots internally.","Moth lays eggs on shoots/fruit; larvae bore in, favored by warm humid weather and continuous cropping.","Wilted drooping shoot tips; round holes with frass plugging on fruit surface, larva visible inside on cutting fruit.",Remove and destroy wilted shoots/infested fruit; spray Emamectin benzoate or Spinosad at early infestation.,"Install pheromone traps, clip and destroy affected shoots weekly, avoid continuous brinjal cropping in same field.",High
44,Brinjal,Bacterial Wilt,Bacterial,Ralstonia solanacearum,Sudden wilting of whole plant despite moist soil; cut stem oozes milky bacterial ooze in water test.,"Soil-borne bacteria, warm wet soil, spreads via irrigation water and infected soil/tools.",Rapid wilting of entire plant while still green; milky white ooze from cut stem placed in clear water (diagnostic test).,No cure — remove and destroy wilted plants immediately; drench soil around healthy plants with Copper oxychloride/Bleaching powder.,"Crop rotation with non-solanaceous crops for 2-3 years, use resistant rootstock/grafted seedlings, improve drainage.",High
45,General (Multiple Crops),Nitrogen Deficiency,Nutrient Deficiency,N/A,"Uniform yellowing (chlorosis) starting from older/lower leaves, stunted growth, thin weak stems.","Sandy/leached soil, insufficient fertilization, heavy rainfall washing away nitrogen.","Overall pale yellow-green color of older leaves first, no spots or lesions present (helps distinguish from disease).",Apply Urea or ammonium sulphate as top dressing per crop recommendation; foliar spray of 2% urea for quick recovery.,"Soil testing before sowing, split nitrogen application, add organic manure/compost.",Medium
46,General (Multiple Crops),Potassium Deficiency,Nutrient Deficiency,N/A,"Yellowing and scorching (browning) of leaf margins/tips on older leaves, weak stalks, poor grain/fruit filling.","Potassium-poor soil, imbalanced fertilization, sandy soils with high leaching.",Brown scorched/burnt appearance restricted to leaf edges while the leaf center remains green.,Apply Muriate of Potash (MOP) as per soil test recommendation.,"Regular soil testing, balanced NPK fertilization, use potash-rich organic manure.",Low
47,General (Multiple Crops),Zinc Deficiency,Nutrient Deficiency,N/A,"Interveinal chlorosis (yellowing between green veins) on young leaves, small/narrow leaves, stunted internodes (rosetting).","Alkaline/calcareous soils, excess phosphorus fertilization, sandy low-organic-matter soils.","Distinct green veins standing out against pale yellow leaf tissue between them, mainly on newer growth.",Foliar spray of Zinc sulphate (0.5%) or soil application per recommendation.,"Soil test and apply zinc sulphate before sowing in deficient soils, add organic matter/compost.",Low
